UF da residencia,1 Regiao Norte,2 Regiao Nordeste,3 Regiao Sudeste,4 Regiao Sul,5 Regiao Centro-Oeste,Total
11 Rondonia,7245,0,0,0,0,7245
12 Acre,959,0,0,0,0,959
13 Amazonas,4713,0,0,0,0,4713
14 Roraima,1008,0,0,0,0,1008
15 Para,9238,0,0,0,0,9238
16 Amapa,856,0,0,0,0,856
17 Tocantins,3357,0,0,0,0,3357
21 Maranhao,0,17844,0,0,0,17844
22 Piaui,0,7287,0,0,0,7287
23 Ceara,0,23728,0,0,0,23728
24 Rio Grande do Norte,0,21109,0,0,0,21109
25 Paraiba,0,11530,0,0,0,11530
26 Pernambuco,0,23947,0,0,0,23947
27 Alagoas,0,11691,0,0,0,11691
28 Sergipe,0,4539,0,0,0,4539
29 Bahia,0,28321,0,0,0,28321
31 Minas Gerais,0,0,82146,0,0,82146
32 Espirito Santo,0,0,16213,0,0,16213
33 Rio de Janeiro,0,0,36856,0,0,36856
35 Sao Paulo,0,0,153781,0,0,153781
41 Parana,0,0,0,53983,0,53983
42 Santa Catarina,0,0,0,42800,0,42800
43 Rio Grande do Sul,0,0,0,66769,0,66769
50 Mato Grosso do Sul,0,0,0,0,9883,9883
51 Mato Grosso,0,0,0,0,9852,9852
52 Goias,0,0,0,0,16425,16425
53 Distrito Federal,0,0,0,0,5136,5136
Total,27376,149996,288996,163552,41296,671216
